n,x0,gapII,family_gapII,num_it
8,0 0 0 0 1/2 1 1/2 0 0 1 0 1/2 1/2 1 0 1/2 0 1/2 1/2 0 0 1/2 1/2 0 0 1/2 0 0,1.111111,1.333333,0
8,0 0 0 0 1/2 1/2 1 0 0 1 0 1/2 1/2 1 0 1/2 0 1/2 1/2 1/2 0 0 0 1/2 0 1/2 0 0,1.111111,1.333333,0
8,0 0 0 0 1/2 1 1/2 0 0 1/2 0 1/2 1 1 0 1/2 0 1/2 1/2 1/2 0 0 1/2 1/2 0 0 0 0,1.111111,1.333333,0
8,0 0 0 0 1/3 2/3 3/3 0 0 2/3 0 3/3 1/3 2/3 0 3/3 0 1/3 3/3 0 0 1/3 1/3 0 0 1/3 0 0,1.105263,1.315789,0
9,1/2 1 0 0 1/2 0 0 0 0 0 0 0 0 1 1/2 0 0 0 0 1/2 1/2 0 1 1/2 0 1/2 1/2 1 1/2 0 0 0 0 0 1/2 0,1.111111,1.333333,0
9,1/2 0 1 0 1/2 0 0 0 0 0 0 0 0 1 1/2 0 0 0 1 1/2 1/2 0 1/2 0 0 1/2 1 1/2 1/2 0 0 0 0 0 1/2 0,1.125000,1.285714,3
9,1 0 1/2 0 1/2 0 0 0 0 0 0 0 0 1/2 1/2 0 0 0 1/2 1 1/2 0 1 0 0 1/2 1/2 1 1/2 0 0 0 0 0 1/2 0,1.111111,1.333333,0
9,1 1/2 0 0 1/2 0 0 0 0 0 0 0 0 1/2 1/2 0 0 0 1 0 1/2 0 1/2 0 1 1/2 1 1/2 1/2 0 0 0 0 0 1/2 0,1.111111,1.333333,0
9,1 0 1/2 0 1/2 0 0 0 0 0 0 0 0 1/2 1/2 0 0 0 1 1/2 1/2 0 1/2 0 0 1 1 1/2 1/2 0 0 0 0 1/2 0 0,1.125000,1.333333,2
9,1/2 0 1 0 1/2 0 0 0 0 0 0 0 0 1/2 1 0 0 0 1 1/2 1/2 0 1/2 0 0 1/2 1/2 1/2 1 0 1/2 0 0 0 0 0,1.125000,1.333333,3
9,1/2 0 1 0 1/2 0 0 0 0 0 0 0 0 1 1/2 0 0 0 1/2 1/2 1 0 1/2 0 0 1/2 1/2 1 1/2 0 1/2 0 0 0 0 0,1.125000,1.333333,2
9,1 0 1/2 0 1/2 0 0 0 0 0 0 0 0 1/2 1/2 0 0 0 1 1/2 1/2 0 1/2 0 0 1 1/2 1/2 1 0 1/2 0 0 0 0 0,1.111111,1.333333,0
9,1/2 1 0 0 1/2 0 0 0 0 0 0 0 0 1/2 1 0 0 0 1/2 0 1/2 0 1/2 0 1 1/2 1/2 1 1/2 0 1/2 0 0 0 0 0,1.100000,1.300000,0
9,1/2 1 0 0 1/2 0 0 0 0 0 0 0 0 1 1/2 0 0 0 1/2 0 1/2 0 1/2 0 1/2 1 1/2 1 1/2 0 1/2 0 0 0 0 0,1.111111,1.333333,0
9,1/2 1 0 0 1/2 0 0 0 0 0 0 0 0 1/2 1 0 0 0 1/2 0 1/2 0 0 1 1/2 1/2 1 1/2 1/2 0 0 1/2 0 0 0 0,1.111111,1.333333,0
9,1/2 1/2 0 0 1 0 0 0 0 0 0 0 0 1/2 1 0 0 1/2 1 0 0 1 0 1/2 1/2 0 1/2 0 0 1/2 0 0 0 1/2 0 1/2,1.125000,1.285714,2
9,1 0 1/3 0 2/3 0 0 0 0 0 0 0 0 2/3 1/3 0 0 0 2/3 1 1/3 0 2/3 0 0 1 2/3 1 1/3 0 0 0 0 0 1/3 0,1.105263,1.315789,0
9,1/3 1 0 0 2/3 0 0 0 0 0 0 0 0 2/3 1 0 0 0 2/3 0 1/3 0 2/3 0 1 1/3 2/3 1 1/3 0 0 0 0 0 1/3 0,1.105263,1.315789,0
10,1/2 1 1/2 0 0 0 0 0 0 0 0 1 0 0 0 1/2 0 0 1/2 0 1/2 0 0 0 0 1/2 0 1 0 0 1/2 0 0 0 0 0 0 0 1 0 1 1/2 1/2 1/2 0,1.111111,1.333333,0
10,1/2 1 1/2 0 0 0 0 0 0 0 0 1 0 0 0 1/2 0 0 1/2 0 1/2 0 0 0 0 1 0 1/2 0 0 1/2 0 0 0 0 0 0 0 1/2 0 1 1/2 1/2 1 0,1.100000,1.300000,0
10,1 1/2 1/2 0 0 0 0 0 0 0 0 1/2 0 0 0 1/2 0 0 1 0 1/2 0 0 0 0 1/2 0 1 0 0 1/2 0 0 0 0 0 0 0 1 0 1 1/2 1/2 1/2 0,1.111111,1.333333,0
10,1/2 1 1/2 0 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 0 0 1/2 0 0 1/2 0 0 0 1/2 1 0 0 1 1/2 0 0 1/2 0 1/2 0 0 0 0 0 1 1/2,1.111111,1.333333,0
10,1/2 1/2 1 0 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 0 0 1 0 1/2 0 0 0 0 1/2 0 1/2 1/2 0 1 0 0 1/2 0 0 0 0 1/2 0 0 1/2 1,1.142857,1.333333,1
10,1/2 1/2 1 0 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 0 1/2 1/2 0 1/2 0 1 0 0 1/2 0 1/2 0 0 1 1/2 0 0,1.100000,1.300000,0
10,1/2 1/2 1 0 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 1/2 0 1 0 0 0 0 1/2 0 1/2 0 0 0 0 0 0 1 0 0 1/2 0 0 1/2 1/2 1 1/2 0,1.111111,1.333333,0
10,1/2 1/2 1 0 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 1 0 1/2 0 0 0 0 1/2 0 1/2 0 0 0 0 0 0 1/2 0 0 1/2 0 0 1/2 1 1 1/2 0,1.125000,1.333333,2
10,1/2 1/2 1 0 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 1/2 0 1 0 0 0 0 1/2 0 1/2 0 0 0 0 0 0 1 0 0 1/2 0 1/2 0 1/2 1 0 1/2,1.111111,1.333333,0
10,1/2 1/2 1 0 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 1 0 1/2 0 0 0 0 1/2 0 1/2 0 0 0 0 0 0 1/2 0 0 1/2 0 1/2 0 1 1 0 1/2,1.125000,1.333333,3
10,1 1/2 1/2 0 0 0 0 0 0 0 0 1/2 1/2 0 0 0 0 0 1 0 1/2 0 0 0 0 1 0 1/2 0 0 0 0 0 0 1/2 0 0 1/2 0 1/2 0 1 1 0 1/2,1.085714,1.257143,0
10,1/2 1/2 1 0 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 1 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 0 0 0 1/2 0 0 1/2 0 1 0 0 1/2 1/2 1,1.125000,1.333333,2
10,1/2 1/2 1 0 0 0 0 0 0 0 0 1/2 1 0 0 0 0 0 1 0 1/2 0 0 0 1/2 0 0 1/2 0 0 0 0 0 0 0 0 0 1/2 1/2 1/2 0 1 1 0 1/2,1.125000,1.333333,3
10,1/2 1/2 1 0 0 0 0 0 0 1/2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1/2 0 1/2 0 0 0 1/2 0 0 0 1 0 0 1/2 0 0 1 1/2 1/2 1/2 0,1.111111,1.333333,0
10,1/2 1/2 1 0 0 0 0 0 0 1 0 0 1/2 0 0 0 0 0 0 0 0 1/2 0 0 1/2 0 1/2 0 0 0 1 0 0 0 1/2 0 0 1/2 0 0 1/2 1 1 1/2 0,1.125000,1.285714,2
10,1/2 1 1/2 0 0 0 0 0 0 1/2 0 0 1 0 0 0 0 0 0 0 0 1/2 0 0 1/2 0 1 0 0 0 1/2 0 0 0 1 0 0 1/2 0 0 1/2 1/2 1 1/2 0,1.111111,1.333333,0
10,1/2 1 1/2 0 0 0 0 0 0 1/2 0 0 1 0 0 0 0 0 0 0 0 1/2 0 0 1 0 1/2 0 0 0 1/2 0 0 0 1/2 0 0 1/2 0 0 1/2 1 1 1/2 0,1.111111,1.333333,0
10,1/2 1/2 1 0 0 0 0 0 0 1/2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1/2 0 1/2 0 0 0 0 0 0 1/2 0 0 1/2 0 1/2 0 1/2 1 1 1/2 0,1.125000,1.333333,3
10,1/2 1/2 1 0 0 0 0 0 0 1/2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1/2 0 1/2 0 0 0 0 0 0 1/2 0 0 1/2 0 1/2 0 1 1/2 1/2 1 0,1.130435,1.333333,5
10,1 1/2 1/2 0 0 0 0 0 0 1/2 0 1/2 0 0 0 0 0 0 0 1 0 0 0 0 1/2 0 1 0 0 0 0 0 0 1 0 0 1/2 0 1/2 0 1/2 1/2 1/2 1 0,1.130435,1.333333,4
10,1/2 1/2 1 0 0 0 0 0 0 1/2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1/2 0 1/2 0 0 0 0 0 1/2 0 0 1/2 0 0 1/2 0 1 0 1/2 1 1/2,1.125000,1.333333,2
10,1 1/2 1/2 0 0 0 0 0 0 1/2 0 1/2 0 0 0 0 0 0 0 1 0 0 0 0 1/2 0 1 0 0 0 0 0 1 0 0 1/2 0 0 1/2 0 1/2 0 1/2 1/2 1,1.142857,1.333333,1
10,2/3 2/3 2/3 0 0 0 0 0 0 0 0 1/3 1 0 0 0 0 0 0 0 2/3 0 0 2/3 0 0 0 1/3 1 0 0 1 2/3 0 0 1/3 0 2/3 0 0 0 0 0 1 1/3,1.105263,1.315789,0
10,1/3 2/3 1 0 0 0 0 0 0 0 0 2/3 1 0 0 0 0 0 0 0 1/3 1 0 0 0 0 0 0 2/3 1/3 0 2/3 0 2/3 0 0 1/3 0 2/3 0 0 1 2/3 0 0,1.105263,1.315789,0
10,1/3 2/3 1 0 0 0 0 0 0 2/3 0 0 1 0 0 0 0 0 0 0 0 2/3 0 0 2/3 0 1/3 0 0 0 2/3 0 0 0 2/3 0 0 1/3 0 0 2/3 1 1 1/3 0,1.105263,1.315789,0
10,1/3 2/3 1 0 0 0 0 0 0 2/3 0 1 0 0 0 0 0 0 0 2/3 0 0 0 0 1/3 0 2/3 0 0 0 0 0 2/3 0 0 1/3 0 0 1 0 1 0 2/3 2/3 1/3,1.105263,1.315789,0
